EXERCICIO;CODIGO_NATUREZA_DESPESA;NOME_NATUREZA_DESPESA;CODIGO_ITEM_DESPESA;NOME_ITEM_DESPESA
2024;319001;GRUPO NATUREZA DESPESA;1;PROVENTOS PESSOAL CIVIL                                                         
2024;319001;GRUPO NATUREZA DESPESA;2;PROVENTOS PESSOAL MILITAR                                                       
2024;319001;GRUPO NATUREZA DESPESA;3;PROVENTOS SERVENTUARIOS DA JUSTICA                                              
2024;319001;GRUPO NATUREZA DESPESA;4;DECIMO TERCEIRO SALARIO INATIVO CIVIL                                           
2024;319001;GRUPO NATUREZA DESPESA;5;DECIMO TERCEIRO SALARIO INATIVO MILITAR                                         
2024;319001;GRUPO NATUREZA DESPESA;6;DECIMO TERCEIRO SALARIO SERVENTUARIOS DA JUSTICA                                
2024;319001;GRUPO NATUREZA DESPESA;99;OUTRAS APOSENTADORIAS E REFORMAS                                                
2024;31900100;NOME NATUREZA DESPESA;1;PROVENTOS PESSOAL CIVIL
2024;31900100;NOME NATUREZA DESPESA;2;PROVENTOS PESSOAL MILITAR
2024;31900100;NOME NATUREZA DESPESA;3;PROVENTOS SERVENTUARIOS DA JUSTICA
2024;31900100;NOME NATUREZA DESPESA;4;DECIMO TERCEIRO SALARIO INATIVO CIVIL
2024;31900100;NOME NATUREZA DESPESA;5;DECIMO TERCEIRO SALARIO INATIVO MILITAR
2024;31900100;NOME NATUREZA DESPESA;6;DECIMO TERCEIRO SALARIO SERVENTUARIOS DA JUSTICA
2024;31900100;NOME NATUREZA DESPESA;99;OUTRAS APOSENTADORIAS E REFORMAS
2024;319003;GRUPO NATUREZA DESPESA;2;PENSOES MILITARES                                                               
2024;319003;GRUPO NATUREZA DESPESA;3;PENSOES DE MONTEPIO                                                             
2024;319003;GRUPO NATUREZA DESPESA;4;PENSOES DE SERVENTUARIOS DA JUSTICA                                             
2024;319003;GRUPO NATUREZA DESPESA;5;DECIMO TERCEIRO PENSIONISTA CIVIL                                               
2024;319003;GRUPO NATUREZA DESPESA;6;DECIMO TERCEIRO PENSIONISTA MILITAR                                             
2024;319003;GRUPO NATUREZA DESPESA;7;DECIMO TERCEIRO MONTEPIO                                                        
2024;319003;GRUPO NATUREZA DESPESA;8;DECIMO TERCEIRO PENSIONISTA SERVENTUARIOS                                       
2024;319003;GRUPO NATUREZA DESPESA;9;PENSOES ESPECIAIS                                                               
2024;319003;GRUPO NATUREZA DESPESA;10;DECIMO TERCEIRO PENSOES ESPECIAIS                                               
2024;319003;GRUPO NATUREZA DESPESA;11;PENSAO PARLAMENTAR                                                              
2024;319003;GRUPO NATUREZA DESPESA;12;PENSAO PARLAMENTAR DECIMO TERCEIRO SALARIO                                      
2024;319003;GRUPO NATUREZA DESPESA;13;PENSOES PAGAS PELO TESOURO ESTADUAL                                             
2024;319003;GRUPO NATUREZA DESPESA;14;DECIMO TERCEIRO DAS PENSOES PAGAS PELO TESOURO ESTADUAL                         
2024;319003;GRUPO NATUREZA DESPESA;99;OUTRAS PENSOES                                                                  
2024;31900300;NOME NATUREZA DESPESA;2;PENSOES MILITARES
2024;31900300;NOME NATUREZA DESPESA;3;PENSOES DE MONTEPIO
